bcode,sove,tensk,tinhtrang,dateuse,dateout,gate
ALT2021050,236784631642,"Hội chợ triển lãm tiêu dùng 2021","Chưa sử dụng",2023-04-14,2023-04-14,"Cổng 2"
ALT2021050,205314876353,"Hội chợ triển lãm tiêu dùng 2021","Hết hạn",2023-04-14,2023-04-14,"Cổng 2"
